Taisho,K_Number,Chinese_Title,Sanskrit_Title,Tibetan_Title,Tohoku_Numbers,Otani_Numbers,Nanjio,Mvy
1,647,長阿含經,Dīrghāgama(sūtra).,,34;352,750;1021,545,
2,1182,七佛經,Saptabuddhaka.,,,,860,
5,653,佛般泥洹經,Mahāparinirvāṇasūtra.,,,,552,
6,654,般泥洹經,Mahāparinirvāṇasūtra.,,,,119,
7,652,大般槃經經,Mahāparinirvāṇasūtra.,,,,118,
8,1453,大堅固婆羅門綠起經,Mahāgovindiya(sūtra).,,,,993,
12,1429,大集法門經,Sangītisūtra.,,,,938,
15,1252,帝釋所問經,Śakraparipṛcchā(sūtra).,,,,924,
16,656,尸迦羅越六方禮經,Śṛgālavādasūtra,,,,555,
17,718,善生子經,Śṛgālavādasūtra.,,,,595,
19,1179,大三摩惹經,Mahāsamāja(sūtra).,Ḥdus-pa chen-poḥi mdo.,34,750,851,
21,659,梵網六十二見經,Brahmajālasūtra,Tshaṅs-paḥi dra-baḥi mdo.,352,1021,554,
26,648,中阿含經,Madhyamāgama(sūtra).,,289;290;291;297;339,955;956;957;963;1006,542,
30,1201,薩鉢多酥哩踰捺野經,Saptasūryodasūtra.,,,,870,
32,673,四諦經,Catuḥsatyasūtra.,,,,598,
41,1243,頻婆裟羅王經,Bimbisārapratyudgamanasūtra.,Mdo-chen-po gzugs-can-sñiṅ-pos bsu-ba.,289,955,900,
52,1410,大生義經,Mahānidānasūtra.,,,,933,
61,871,受新歳經,Pravāraṇasūtra.,,,,,
62,872,新歳經,Pravāraṇasūtra.,,,,763,
63,1253,解夏經,Pravāraṇasūtra.,,,,923,
78,701,兜調經,Śukasūtra.,Las-kyi rnam-par ḥgyur-ba shes-bya-ba chos-kyi-gshuṅ.,339,1006,611,
79,695,鸚鵡經,Śukasūtra.,Las-kyi rnam- par ḥgyur-ba shes-bya-baḥi chos-kyi-gshuṅ.,339,1006,610,
80,805,佛爲首迦長者說業報差別經,Śukasūtra.,Las rnam-par-ḥbyed-pa.,338,1005,739,
81,1098,分別善惡報應經,Śukasūtra.,Las-kyi rnam-par ḥgyur-ba shes-bya-baḥi chos-kyi-gshuṅ.,338;339,1005;1006,783,
86,712,泥犁經,Nirayasūtra.,,,,575,
97,725,廣義法門經,Arthavighuṣṭasūtra.,Don rgyas-pa.,318,984,587,
98,717,普法義經,Arthavighuṣṭasūtra.,Don rgyas-pa.,318,984,586,
99,650,雜阿含經,Saṁyuktāgamasūtra.,Tsa a han ching. (50 chüan),31;34;41;42;211;213;292;293;296;300;316;330;331;337;336,747;750;757;758;877;879;958;959;962;966;982;996;997;1003,544,1424
100,651,別譯雜阿含經,Saṁyukatāgamasūtra.,,34;213;296;331,750;879;962;997,546,
101,745,雜阿含經,Saṁyuktāgamasūtra.,,,,547,
109,741,轉法輪經,Dharmacakrapravartanasūtra.,Chos-kyi-ḥkhor-lo rab-tu bskor-baḥi mdo.,31;337,747;1003,657,
110,730,三轉法輪經,Dharmacakrapravartanasūtra.,Chos-kyi-ḥkhor-lo rab-tu bskor-baḥi mdo.,31;337,747;1003,658,
113,728,難提釋經,Nandapravrajyāsūtra.,,,,660,
118,708,鴦掘摩經,Angulimālīyasūtra.,Sor-moḥi phreṅ-ba-la phan-pa.,213,879,621,1398
119,727,鴦掘髻經,Aṅgulimālīyasūtra.,Sor moḥi phreṅ-ba-la phan-pa.,213,879,622,1398
120,410,央掘魔羅經,Aṅgulimālīyasūtra,Sor-moḥi phreṅ-ba-la phan pa,213,879,434,1398
121,1447,月喩經,Candropamasūtra,,,,948,
123,746a,放牛經,Pratītyasamutpādādivibhaṅganirdeśa(sūtra).,Rten-ciṅ-ḥbrel-bar-hbyuṅ-ba daṅ-po daṅ rnam-par dbye-ba bstan-pa.,211,877,627,
124,736,緣起經,Pratītyasamutpādādivibhaṅganirdeśasūtra.,Rten-ciṅ-ḥbrel-bar-ḥbyuṅ-ba daṅ-po daṅ rnam-par dbye-ba bstan-pa.,211,877,628,
125,649,增壹阿含經,Ekottarāgama(sūtra).,,36;211;213;316,752;877;879;982,543,
128,723,須摩提女經,Sumāgadhāvadānasūtra.,,,,615,
129,790,三摩竭經,Sumāgadhāvadānasūtra.,,,,616,
130,1428,給孤長者女得度因綠經,Sumāgadhavadāna(sūtra).,,,,937,
138,756,十一想思念如來經,Maitrībhāvanāsūtra.,Byams-pa bsgom-paḥi mdo.,36,752,629,
152,206,六度集經,,,351,1020,143,
153,988,菩薩本緣經,,,348,1017,1357,
154,799,生經,Jātaka(sūtra).,,,,669,
156,402,大方便佛報恩經,,,353,1022,431,
157,126,悲華經,Karuṇāpuṇḍarīkasūtra,Sñiṅ-rje pad-ma dkar-po,112,780,142,
158,125,大乘悲分陀利經,Karuṇāpuṇḍarīkasūtra,Sñiṅ-rje pad-ma dkar-po,112,780,180,
162,370,金色王經,Kanakavarṇapūrvayoga(sūtra),Gser-mdog-gi sṅon-gyi sbyor-ba,350,1019,390,
165,1469,頂生王因緣經,Mandhātāvadāna.,,,,1011,
166,1173,月光菩薩經,Candraprabhabodhisattvacaryāvadāna(sūtra).,Zla ḥod-kyi rtogs-pa-brjod-pa.,348,1017,852,
169,466,月明菩薩經,Candraprabhabodhisattva(sūtra),,,,513,
171,207,大子須大拏經,Jinaputrārthasiddasūtra,Rgyal-bu don-grub-kyi mdo,351,1020,254,
173,1467,福力太子因緣經,Puṇyabalāvadāna.,Bsod-nams-kyi stobs-kyi rtogs-pa-brjod-po.,347,1016,953,
174,208,菩薩睒子經,Śyāmakajātakasūtra,,,,216,
177,499,大意經,Mahāmati(sūtra),,,,527,
179,252,銀色女經,Pūpāvatyāvadānā(sūtra),,,,271,
186,112,普曜經,Lalitavistara(sūtra),Rgya-cher-rol-pa,95;4405,763,160,1331
187,111,方廣大莊嚴經,Lalitavistara(sūtra),Rgya-cher-rol-pa,95;4405,763,159,1331
188,468,異出菩薩本起經,Abhiniṣkramaṇa(sūtra),,,,509,
190,802,佛本行集經,Abhiniṣkramaṇasūtra.,,,,680,
192,980,佛所行讚經,Buddhacarita.,Saṅs-rgyas-kyi spyod-pa shes-bya-baḥi sñan-dṅags chen-po.,4156,,1351,
198,800,義足經,Arthavargīyasūtra.,,,,674,
200,981,撰集百緣經,Avadānaśataka.,Gaṅ-po la-sogs-paḥi rtogs-pa-brjod-pa brgya-pa.,343,1012,1324,
201,587,大莊嚴經論,Kalpanāmaṇḍitikā,,,,1182,
202,983,賢愚經,Damamūka(nidānasūtra).,Mdsaṅs blun.,341,1008,1322,
210,1021,法句經,Dharmapāda.,Ched-du brjod-paḥi tshoms.,326;4099,992,1365,
211,1020,法句譬喩經,Dharmapāda.,Ched-du brjod-paḥi tshoms.,326;4099,992,1353,
212,982,出曜經,Dharmapāda.,Ched-du-brjod-paḥi tshoms.,326;4099,992,1321,
213,1119,法集要頌經,Dharmapāda.,Ched-du-brjod-paḥi tshoms.,326;4099,992,1439,
219,1446,醫喩經,Bhiśajupamānasūtra.,,,,949,
220,1,般若波羅蜜多經,Mahāprajñāpāramitāsūtra,,,,1,
221,2,放光般若波羅蜜經,Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa stoṅ-phrag-ñi-śu-lṅa-pa,9,731,2,1327
222,4,光讚經,Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa stoṅ-phrag-ñi-śu-lṅa-pa,9,731,4,
223,3,摩可般若波羅蜜經,Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa stoṅ-phrag-ñi-śu-lṅa-pa,9,731,3,1327
224,6,道行般若經,Aṣṭasāhasrikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa,12,734,5,1328
225,9,大明度經,Aṣṭasāhasrikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa,12,734,8,1328
226,5,摩訶般若抄經,Aṣṭasāhasrikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa,12,734,7,1328
227,7,小品般若波羅蜜經,Aṣṭasāhasrikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa,12,734,6,1328
228,1423,佛母出生三法藏般若波羅蜜多經,Aṣṭasāhasrikāprajñāpāramitā.,Śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa.,12,734,927,1328
229,1200,佛母寶德藏般若波羅蜜經,Ratnaguṇasañcayagāthā(sūtra).,Śes-rab-kyi-pha-rol-tu-phyin-pa sdud-pa tshigs-su-bcad-pa.,13,735,864,
